date,ruined,equity,start_equity,gross_pnl,cost,funding,net_pnl,gross_return,net_return,traded_notional,gross_exposure,net_exposure,long_pnl,short_pnl,n_positions,n_live,multiplier,ex_ante_vol,ex_ante_vol_full_signal,held_ex_ante_vol,target_tracking_error
2020-05-18,False,100013.97752709157,99990.3729480335,23.920060622926247,0.007949968414220823,0.3075315964419753,23.60457905807005,0.0002392236364130561,0.00023606851701951051,7.949968414220823,1504.6123885337488,1286.6134146591785,26.69916844511357,-2.779107822187324,7,7,0.0057542761634465376,1.9367265602135453,6.796488387749953,0.012308684649674887,0.003038081268139284
2020-05-19,False,100018.37695427079,100013.97752709157,4.791385640565629,0.0,0.39195846134756046,4.399427179218068,4.790716016936481e-05,4.398812334032371e-05,0.0,1534.0906648010496,1310.5334752821045,4.757504302065277,0.03388133850035202,7,7,0.0057542761634465376,2.1140565131299303,6.796488387749952,0.012037586683832716,0.0030839490293586313
2020-05-20,False,99984.49752161503,100018.37695427079,-33.46312741744196,0.008360719872003245,0.4079445184400111,-33.87943265575397,-0.00033456979043702714,-0.00033873207791848016,8.360719872003244,1547.175007636618,1323.6855807946736,-36.29997924502855,2.8368518275865906,7,7,0.0057542761634465376,2.2381792136364127,6.796488387749953,0.012114893036095007,0.0025306299332431346
2020-05-21,False,99922.0167637704,99984.49752161503,-62.198228641217405,0.009455437767968191,0.27307376564640645,-62.48075784463178,-0.0006220787240319046,-0.0006249044541242452,9.455437767968192,1517.493614331971,1299.6778911451997,-67.27008677228812,5.071858131070719,7,7,0.0057542761634465376,2.144694390104237,6.796488387749953,0.011926389130234588,0.0028437114225937253
2020-05-22,False,100009.04860658768,99922.0167637704,89.23679429347638,1.6551233191283128,0.5498281570664354,87.03184281728164,0.0008930643834425862,0.0008709976603358304,1655.1233191283127,2831.755686090719,2532.851033624466,95.36431048664186,-6.127516193165489,10,10,0.0057542761634465376,4.317047084710585,9.52229240724034,0.02419566129407163,0.005104974294890509
2020-05-23,False,99991.22047932526,100009.04860658768,-17.201488942163877,0.0613831919306501,0.5652551283194697,-17.828127262413997,-0.0001719993258793065,-0.00017826514211274723,61.383191930650106,2942.9768926606494,2581.689353849999,-18.581978416785393,1.380489474621518,10,10,0.0057542761634465376,4.2357248792327065,9.52229240724034,0.024177025153537604,0.004642791538566107
2020-05-24,False,99894.37947408659,99991.22047932526,-96.23472618534157,0.052410541233892376,0.5538685121035396,-96.841005238679,-0.0009624317587486553,-0.0009684950816127141,52.410541233892374,2930.795827920675,2525.7411752402027,-104.42604192962364,8.19131574428206,10,10,0.0057542761634465376,4.082472930471275,9.52229240724034,0.023626105941791292,0.00452752126491238
2020-05-25,False,99956.12501438103,99894.37947408659,62.265641666138656,0.1259460507616051,0.39415532093488503,61.745540294442165,0.0006233147649942695,0.0006181082521310367,125.9460507616051,2837.033269042696,2303.560398293256,69.8501371566239,-7.584495490485242,10,10,0.0057542761634465376,3.6299028283849144,9.52229240724034,0.021732248584778572,0.0047903418014704794
2020-05-26,False,99929.25974195433,99956.12501438103,-26.297492117109023,0.05811105769072665,0.5096692519073784,-26.86527242670713,-0.0002630903520252062,-0.0002687706473499441,58.11105769072665,2900.8201002900228,2307.714982268668,-29.717819247782614,3.42032713067359,10,10,0.0057542761634465376,3.4609434644353474,9.52229240724034,0.0217340812488512,0.004282671751363517
2020-05-27,False,99973.63913443209,99929.25974195433,44.84064399889805,0.10380370421754974,0.35744781692043737,44.37939247776007,0.0004487238684114073,0.000444108087985043,103.80370421754974,2905.4791595129145,2177.6137859340097,54.112445933953346,-9.2718019350553,10,10,0.0057542761634465376,3.2123784552498265,9.52229240724034,0.020328009285593297,0.004473910386613473
