date,n_corr,mean_corr,effective_breadth,n_clusters
2021-12-03,117,0.5440001055118353,1.8251587679583374,8
2021-12-10,118,0.54385347381957,1.8257533089511797,8
2021-12-17,119,0.5480855431189265,1.8119777920421034,8
2021-12-24,120,0.5091097901637134,1.948556009457201,8
2021-12-31,122,0.5077535475072705,1.9539326974075062,8
2022-01-07,122,0.511342275994316,1.940437618515549,8
2022-01-14,123,0.5164440662231995,1.9216895545789814,8
2022-01-21,125,0.5088179746296528,1.9502779338672998,8
2022-01-28,126,0.5263486200620063,1.8864089138716795,8
2022-02-04,126,0.5310235778158009,1.870048067441794,8
2022-02-11,127,0.5356718524257953,1.8541593202590556,8
2022-02-18,127,0.5486033394531908,1.8110769833713873,8
2022-02-25,128,0.552608284011312,1.7982263064877988,8
2022-03-04,128,0.5673203934127983,1.7522319405337274,8
2022-03-11,129,0.5630443278921251,1.7654382863761533,8
2022-03-18,129,0.5669376927377302,1.7534791857997425,8
2022-03-25,129,0.5400439646613441,1.8395557322171534,8
2022-04-01,86,0.5496438860268663,1.8021895647189476,8
2022-04-08,130,0.5411016552901907,1.8361033804513014,8
2022-04-15,129,0.5549604441743579,1.7907977105732362,8
2022-04-22,129,0.5548791620013976,1.7910563956383927,8
2022-04-29,131,0.5606759476258575,1.7729567023904504,8
2022-05-06,132,0.59697270062715,1.6665946204933835,8
2022-05-13,133,0.6544349882012994,1.5219930552533285,8
2022-05-20,132,0.6714421368682847,1.4838309649470351,8
2022-05-27,132,0.6899471937586836,1.44446867580646,8
2022-06-03,130,0.69088241648887,1.4424597524181932,8
2022-06-10,130,0.6784863768316484,1.4685159896012085,8
2022-06-17,132,0.6799251923807734,1.4655235550064083,8
2022-06-24,133,0.6788611313592608,1.4678345144576572,8
2022-07-01,131,0.6774006661720979,1.4708840203224025,8
2022-07-08,130,0.6771735240581789,1.4713308145663695,8
2022-07-15,131,0.6739512300579199,1.4783273835738366,8
2022-07-22,132,0.6649635311903394,1.498123556222544,8
2022-07-29,132,0.6674305041353834,1.4926487719379675,8
2022-08-05,133,0.6529118197682696,1.5255029649875504,8
2022-08-12,133,0.6582869157178814,1.5131885266850307,8
2022-08-19,136,0.6456088696618074,1.5426987699735848,8
2022-08-26,136,0.6403789636927607,1.5551537549276881,8
2022-09-02,136,0.6412664754118247,1.5530260028800094,8
2022-09-09,137,0.6428365561866054,1.5493220749672443,8
2022-09-16,137,0.6459819599163648,1.5418630467949412,8
2022-09-23,136,0.6528077443403827,1.525877442740437,8
2022-09-30,137,0.6590172556913044,1.5117016726009957,8
2022-10-07,136,0.6579965081376499,1.5139787787124792,8
2022-10-14,136,0.6534679479790385,1.5243531162065005,8
2022-10-21,137,0.657035762327644,1.516210218300667,8
2022-10-28,137,0.6529676278210009,1.525551358646724,8
2022-11-04,138,0.6381151771710177,1.5607014599289952,8
2022-11-11,138,0.6345195695970755,1.5694448461357138,8
2022-11-18,138,0.6184169715105783,1.6098339840495532,8
2022-11-25,138,0.6184936554084477,1.6096367169667967,8
2022-12-02,134,0.6180085783276432,1.6106709901814702,8
2022-12-09,132,0.6272685173780318,1.5870692183726782,8
2022-12-16,132,0.6185879750132589,1.609068814688593,8
2022-12-23,131,0.6324489075041122,1.574171891717844,8
2022-12-30,126,0.6497024375539213,1.5326079735220073,8
2023-01-06,127,0.651532737422094,1.5284056307863432,8
2023-01-13,131,0.6227794633436095,1.5983147128642827,8
2023-01-20,137,0.6262587687875957,1.5898584658948303,8
2023-01-27,142,0.6284050349652474,1.584731050615003,8
2023-02-03,141,0.6441537454630872,1.5463659001338463,8
2023-02-10,141,0.6526544443176093,1.5264428255670925,8
2023-02-17,143,0.6504529448329645,1.5316343846191687,8
2023-02-24,143,0.6356111654811069,1.5670067625013702,8
2023-03-03,143,0.6359842631405015,1.566097551854226,8
2023-03-10,143,0.6475751718866715,1.5383676242559279,8
2023-03-17,143,0.6596242882892088,1.5105636631868458,8
2023-03-24,144,0.6405147445138785,1.5551829374235664,8
2023-03-31,145,0.6461978080510473,1.541692396407006,8
2023-04-07,144,0.6424879317659173,1.5504581380282583,8
2023-04-14,143,0.6413572134184793,1.5531201132448276,8
2023-04-21,144,0.636060934990682,1.565954177788944,8
2023-04-28,144,0.640954682627811,1.5541270122936992,8
2023-05-05,144,0.6521953299854293,1.527625642784921,8
2023-05-12,144,0.5867750244933724,1.6959367187084855,8
2023-05-19,144,0.5954459072131326,1.6715271594298753,8
2023-05-26,144,0.6122291603390253,1.626222477356901,8
2023-06-02,144,0.6136493049880665,1.6225013789000506,8
2023-06-09,146,0.622774888403375,1.5990824540497408,8
2023-06-16,147,0.6299850097904569,1.5810223723281505,8
2023-06-23,151,0.6252425016330295,1.5930559598863643,8
2023-06-30,154,0.6120303298529748,1.6272079229311205,8
2023-07-07,156,0.6064884300500171,1.6420066276857708,8
2023-07-14,158,0.6046289564014187,1.6470901634113975,8
2023-07-21,157,0.6092003348110611,1.6348163445557797,8
2023-07-28,159,0.6109300519152617,1.630318624034856,8
2023-08-04,161,0.6056737003446567,1.6444043586369426,8
2023-08-11,161,0.5966443002783874,1.6690321994010597,8
2023-08-18,161,0.6002971418447515,1.6589806967675964,8
2023-08-25,164,0.6108416714036803,1.630750506431828,8
2023-09-01,164,0.6042163879045053,1.648452088141375,8
2023-09-08,164,0.5941795811088547,1.6760129645329274,8
2023-09-15,167,0.567561115020005,1.7539226541777837,8
2023-09-22,165,0.5636626488422228,1.7658262961137383,8
2023-09-29,164,0.5580514869838854,1.7833376857491114,8
2023-10-06,165,0.5679734609452345,1.752566359488418,8
2023-10-13,161,0.5637199052118291,1.7654440888875131,8
2023-10-20,163,0.5467004615378296,1.819897682898044,8
2023-10-27,168,0.5481767705366801,1.8153228677764213,8
2023-11-03,172,0.5339975873443604,1.8632143412199074,8
2023-11-10,180,0.5153955269140565,1.9301748665189749,8
2023-11-17,182,0.5155607799350813,1.9296729389413319,8
2023-11-24,183,0.5283322401844209,1.883559626102486,8
2023-12-01,185,0.5204272172872041,1.9119745918277662,8
2023-12-08,187,0.46326001652475346,2.1453229595239085,8
2023-12-15,188,0.4606901983349914,2.157223321837472,8
2023-12-22,190,0.44928816795016335,2.2114761618382954,8
2023-12-29,191,0.4296614677122187,2.311350286252129,8
2024-01-05,192,0.42704828556144586,2.32540612962866,8
2024-01-12,193,0.44490225533600286,2.2332474699274125,8
2024-01-19,196,0.44809747880441037,2.2177211944538544,8
2024-01-26,195,0.4386591141186924,2.264811830897714,8
2024-02-02,192,0.442097375973893,2.2471752617825826,8
2024-02-09,185,0.43472958013693574,2.2842257749742707,8
2024-02-16,180,0.4097317085687763,2.4212431534290144,8
2024-02-23,188,0.39092105051384723,2.5370354393658956,8
2024-03-01,204,0.3822351499632351,2.5956267233175754,8
2024-03-08,218,0.3936986488622923,2.5221962875258006,8
2024-03-15,223,0.3787928647122594,2.6206924053695575,8
2024-03-22,227,0.41530941761381013,2.3930020175530142,8
2024-03-29,231,0.40891428823382264,2.4302925220659577,8
2024-04-05,228,0.4150064179037667,2.3947955580924614,8
2024-04-12,230,0.41415253617180037,2.3998097485085714,8
2024-04-19,231,0.4717728054419712,2.1094398343163068,8
2024-04-26,232,0.4776499287668464,2.0837612089764805,8
2024-05-03,232,0.48385952097091883,2.057256474252412,8
2024-05-10,234,0.4948038994629707,2.0122228162474665,8
2024-05-17,231,0.5011687489690613,1.9867752624642656,8
2024-05-24,224,0.4947161279311783,2.0121863660454125,8
2024-05-31,224,0.4885174342725641,2.037486331289473,8
2024-06-07,225,0.48622015337430724,2.047067739869635,8
2024-06-14,224,0.49579001306656745,2.0078670217369323,8
2024-06-21,228,0.5095828006811639,1.954141178947589,8
2024-06-28,220,0.5220042118731798,1.9077528251301812,8
2024-07-05,212,0.534350563807651,1.8637695418384763,8
2024-07-12,201,0.5325683764771592,1.8695296151645957,8
2024-07-19,195,0.5342624132337189,1.8634090907700245,8
2024-07-26,195,0.5370262616366616,1.8539100836455742,8
2024-08-02,204,0.542460663352371,1.835861150250857,8
2024-08-09,209,0.5680617297703643,1.7539907936834893,8
2024-08-16,211,0.5727161509030712,1.7399135688453202,8
2024-08-23,205,0.575273186961438,1.7320665400591906,8
2024-08-30,217,0.5956323186365412,1.673652032302658,8
2024-09-06,203,0.6077389176243105,1.6402282694323658,8
2024-09-13,194,0.6226562633445111,1.601021235981899,8
2024-09-20,193,0.6192315526716702,1.6097759862272452,8
2024-09-27,195,0.6273385531315091,1.5891943998786087,8
2024-10-04,212,0.6323631450369316,1.5770450839875743,8
2024-10-11,215,0.5998592632558932,1.6619014883258234,8
2024-10-18,217,0.59308739610624,1.680778004261793,8
2024-10-25,216,0.5927062040597157,1.6818260199715194,8
2024-11-01,204,0.6027248783658002,1.6537883263638378,8
2024-11-08,207,0.6184119314076257,1.6122392120100482,8
2024-11-15,217,0.603899569961161,1.6509144184127884,8
2024-11-22,237,0.6118247611872629,1.630091139747042,8
2024-11-29,255,0.6059945276330923,1.6459831135626146,8
2024-12-06,256,0.5934192147634795,1.6806513074973373,8
2024-12-13,257,0.6134362944008079,1.6261737654487924,8
2024-12-20,261,0.6220221982988293,1.6039254108404124,8
2024-12-27,265,0.6268720536904248,1.5916468243722013,8
2025-01-03,264,0.6188928199990932,1.6120285500298686,8
2025-01-10,264,0.6221915754633136,1.6035337574215183,8
2025-01-17,260,0.6154174706212643,1.6210171114057472,8
2025-01-24,259,0.6229766506829137,1.6014545325063196,8
2025-01-31,255,0.617572362856396,1.6153207902467603,8
2025-02-07,260,0.6270112916146128,1.5912269583881313,8
2025-02-14,249,0.6193586020108126,1.6105982977408295,8
2025-02-21,228,0.60454391074501,1.6494073580286501,8
2025-02-28,231,0.6074226613145738,1.6417068929769434,8
2025-03-07,229,0.612121933183746,1.6291534431499508,8
2025-03-14,235,0.6025878516948899,1.6548648128548946,8
2025-03-21,231,0.5957672472465305,1.6735920671148268,8
2025-03-28,217,0.5801540071456279,1.7179509932418404,8
2025-04-04,210,0.5797405934351062,1.7189755844564187,8
2025-04-11,213,0.58404474457206,1.7064916710244267,8
2025-04-18,211,0.574229936576342,1.7353645302489216,8
2025-04-25,222,0.5594928516245208,1.7810164792780623,8
2025-05-02,223,0.5544599321691023,1.7970812427393474,8
2025-05-09,229,0.5469613587623747,1.821693734211284,8
2025-05-16,244,0.5632226737277229,1.7698715813311672,8
2025-05-23,257,0.5670219773058448,1.7583755750479122,8
2025-05-30,257,0.575250192617904,1.7333939090138428,8
2025-06-06,257,0.588111619475292,1.6957363987843246,8
2025-06-13,236,0.5767197321482382,1.728568751630007,8
2025-06-20,228,0.5721155666434392,1.7421837929011927,8
2025-06-27,223,0.5774381895257397,1.726122717595797,8
2025-07-04,214,0.577309938057728,1.7262656270448489,8
2025-07-11,212,0.5748925938974369,1.73340922715609,8
2025-07-18,227,0.5592005803312889,1.7820787559640043,8
2025-07-25,262,0.5371886738316285,1.8554420315939095,8
2025-08-01,282,0.536360783084226,1.858719152105436,8
2025-08-08,282,0.532303449673198,1.8727926280109677,8
2025-08-15,290,0.5294234984353864,1.8830754181895826,8
2025-08-22,273,0.529532775805191,1.8823313312306602,8
2025-08-29,278,0.5351172933224192,1.8629275312054794,8
2025-09-05,283,0.5190518029727874,1.9203025786059331,8
2025-09-12,265,0.5144090994322305,1.9370778313599315,8
2025-09-19,255,0.5148710243543875,1.935083779566536,8
2025-09-26,254,0.5146601645491441,1.9358424965202068,8
2025-10-03,254,0.5049938221659206,1.9726096623551814,8
2025-10-10,264,0.4811754805506519,2.0697903289336694,8
2025-10-17,274,0.5486557130383114,1.8171808655287127,8
2025-10-24,267,0.5505303583471802,1.8108929239689862,8
2025-10-31,268,0.5513365448940047,1.8082833989247193,8
2025-11-07,258,0.5413967412770743,1.8410297563383817,8
2025-11-14,242,0.5436361329995754,1.8331068605784135,8
2025-11-21,233,0.5368640203884267,1.8557980742984932,8
2025-11-28,227,0.5251776799494492,1.8965636625000948,8
2025-12-05,210,0.5359503317087139,1.8581831220903466,8
2025-12-12,194,0.529104267400638,1.881355813772343,8
2025-12-19,190,0.5278337155923585,1.8856582070050758,8
2025-12-26,181,0.513597385654622,1.9369158406606415,8
2026-01-02,176,0.5017895770136614,1.9816879428431255,8
2026-01-09,176,0.5000081552445432,1.988668495326197,8
2026-01-16,183,0.5086258931954781,1.955756877292905,8
2026-01-23,185,0.5039346484326339,1.9738812762148576,8
2026-01-30,190,0.504330359666873,1.972623352190298,8
2026-02-06,199,0.5067931354473723,1.963588927417128,8
2026-02-13,203,0.49062416749589194,2.0278488207767214,8
2026-02-20,191,0.473704172256945,2.098813623836066,8
2026-02-27,184,0.4613904778258821,2.153697764448503,8
2026-03-06,173,0.4537157745606647,2.188789738932931,8
2026-03-13,169,0.44236756171434,2.243826975371028,8
2026-03-20,166,0.44997285319606334,2.206111384240262,8
2026-03-27,169,0.42828172329156955,2.3166130230693307,8
2026-04-03,160,0.3989159029041468,2.483406631157104,8
2026-04-10,157,0.3452370703363086,2.8619875081137303,8
2026-04-17,166,0.31286810524174513,3.154499956909929,8
2026-04-24,172,0.3170267769607462,3.115288559945812,8
2026-05-01,179,0.30313384760230055,3.2570430218619846,8
2026-05-08,183,0.29982281539214817,3.2932769833513182,8
2026-05-15,197,0.3058966624863677,3.2318528345697417,8
2026-05-22,191,0.31386781735504204,3.1500018357915054,8
2026-05-29,185,0.3241856831608999,3.050280207150408,8
2026-06-05,194,0.3098898656745248,3.190330649818067,8
2026-06-12,190,0.3079034261298852,3.2097984652224913,8
2026-06-19,185,0.2962033340359851,3.333248442845381,8
2026-06-26,171,0.2946173962687795,3.347365033034943,8
2026-07-03,167,0.28748074258382933,3.427623544191464,8
2026-07-10,164,0.28008275863463145,3.515278304027768,8
2026-07-17,154,0.2829271782678607,3.477251011864611,8
