group,label,days,start,end,total_return,cagr,ann_vol,sharpe_net,sharpe_gross,max_drawdown,design_sharpe_net,holdout_sharpe_net,design_total_return,holdout_total_return,ann_turnover,avg_gross_exposure,cost_drag_ann,funding_drag_ann,long_pnl,short_pnl,hit_rate,avg_positions,avg_live,ruined,ruin_date,avg_held_ex_ante_vol,avg_target_tracking_error
cost,cost_5bps,2395,2020-01-01,2026-07-22,2.6035555251552926,0.2157556668622247,0.1991200951618369,1.0804862759829865,1.15401439968838,-0.2877344954050516,0.7174732229987854,1.5862215491190317,0.6016099355313962,1.2499582733667753,17.209492686169757,0.4184029952632774,0.008604746343084876,-0.000485707389768592,192205.3433772136,78426.34231037943,0.4881002087682672,145.0204592901879,143.28434237995825,False,,0.19484549604847126,0.04795085047455503
cost,cost_10bps,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
cost,cost_20bps,2395,2020-01-01,2026-07-22,2.0826416344442364,0.187168267384328,0.19917907352939,0.9607120065085456,1.1540639145695095,-0.32765079825113586,0.6136070311531946,1.444074651791782,0.48101380321138887,1.0814401781805967,16.975344555598372,0.41862451618850044,0.033950689111196745,0.0013124538580329,182140.42232668702,67531.3502073571,0.4851774530271399,145.0204592901879,143.28434237995825,False,,0.19486261871457658,0.048046479058738656
speed,speed_16_48,2395,2020-01-01,2026-07-22,1.2618114246395278,0.13245108015603435,0.19889448269272061,0.7245072563384493,0.8106777143945776,-0.4434608107823874,0.22842014024165946,1.3976820638728162,0.10636064250789712,1.044370829671287,18.244311373622892,0.40302260144007646,0.018244311373622892,-0.0033309391862879102,123396.7512853675,16971.70152868398,0.4906054279749478,144.77453027139876,143.28434237995825,False,,0.19161907344446044,0.05160729598057897
speed,speed_32_96,2395,2020-01-01,2026-07-22,1.0715718813851178,0.11738898349429783,0.198771185940128,0.6572826316477844,0.7571513042626046,-0.39646317942685516,0.33942152765791384,1.1023504237982713,0.2043427516957126,0.7200849828409301,15.113336698030093,0.4225694127004417,0.015113336698030092,0.00288152974586334,110587.32027671757,13290.248755784145,0.4801670146137787,137.5473903966597,136.42171189979123,False,,0.19492519467428063,0.048513244221726676
speed,speed_64_192,2395,2020-01-01,2026-07-22,0.2821697205300364,0.03860638186151433,0.21965542180566075,0.2893392038440745,0.4198300186752949,-0.4345554132053173,0.7888958175936321,-0.2199996024912112,0.6552874978682661,-0.2254096510840221,11.596291120558044,0.37926620561815033,0.011596291120558046,0.01829228673588877,93118.67510322797,-35514.56400423786,0.4488517745302714,121.721503131524,118.90480167014614,False,,0.19812322431664878,0.04057178617746951
speed,speed_fast_ensemble,2395,2020-01-01,2026-07-22,1.7702901648514384,0.16799563351039204,0.20146754716551044,0.8713101539450082,1.0177136174295836,-0.36120009426909117,0.7429884099729114,1.0615435871745453,0.6627066004120679,0.666132896907295,27.65460131387278,0.3879048456613947,0.027654601313872783,-5.5681107216525864e-05,146790.80144042772,64739.638678492665,0.4847599164926931,145.84926931106472,143.28434237995825,False,,0.18924037324851686,0.05636388540286344
speed,speed_slow_ensemble,2395,2020-01-01,2026-07-22,1.2041036442094932,0.12799933950064846,0.19678629582701648,0.7100047579530475,0.8737212805342035,-0.2951527915455755,0.6197802987414717,0.8381376129621818,0.48439556704209674,0.48484924985429156,14.7241591611134,0.43097874914134787,0.014724159161113401,0.016217854000429622,139754.34285362734,12994.15476657392,0.4810020876826722,139.321503131524,136.42171189979123,False,,0.19595785911782262,0.04544897593975335
speed,speed_wide_ensemble,2395,2020-01-01,2026-07-22,1.8533581417798115,0.17326652077719573,0.19693567724075436,0.9096029413210699,1.0603945709677178,-0.36568527585096444,0.5505749215277336,1.4012697132550995,0.40431534447813955,1.0318500064813816,18.299562060888853,0.4210074679691844,0.01829956206088885,0.009597328864054126,168528.69618749034,48401.373489367674,0.48768267223382045,145.23590814196243,143.28434237995825,False,,0.19368829230937007,0.04932314452335775
target,vol_target_0.1,2395,2020-01-01,2026-07-22,0.910157330109161,0.10365966677465499,0.09963434110633002,1.0397499866982074,1.1537598823109323,-0.15476837457267545,0.6828811167731758,1.5371369506712196,0.271831198737259,0.5018953238493173,8.302491284296005,0.20925213240252338,0.008302491284296006,0.001990609496885818,79098.55495789266,21213.027935986505,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.09747689497577326,0.024039111033317868
